filename,width,height,class,xmin,ymin,xmax,ymax
Creased-blue-teats-low-rest-phase-high-vacuumKE-400x284_jpg.rf.9395c20772a0d3ff803a3715750f6805.jpg,640,640,Mastitis_infected_udder,0,0,579,429
lie242_jpg.rf.59ae12fc068b1543dbc712ef18677545.jpg,640,640,Cow_lying,457,100,609,291
lie242_jpg.rf.59ae12fc068b1543dbc712ef18677545.jpg,640,640,Cow_lying,243,254,521,390
lie242_jpg.rf.59ae12fc068b1543dbc712ef18677545.jpg,640,640,Cow_lying,87,163,346,381
2025-01-18-14-31-51-8d87f_jpg.rf.ff62dd2a6b17b8c27fe70d93db709059.jpg,640,640,Healthy_udder,206,78,576,453
GRZ_9_jpg.rf.0fcd5193fa374045042b2578d01797be.jpg,640,640,Cow_Feeding,142,255,477,594
GRZ_9_jpg.rf.0fcd5193fa374045042b2578d01797be.jpg,640,640,Cow_Feeding,488,354,628,510
images-46-1-_png.rf.81197c882139f3434b276d68d92ecddc.jpg,640,640,Lumpy_infected_cow,0,79,258,613
AdobeStock_433594014_Preview_jpeg.rf.950b5d71816cae95e1692913754b4c7e.jpg,640,640,Healthy_udder,175,0,633,452
Chemical-burn-6-400x284_jpg.rf.b978de6f770eca648d63a5f8529bdaa5.jpg,640,640,Mastitis_infected_udder,0,0,540,456
AdobeStock_838454755_Preview_jpeg.rf.addf19b013cbada412158530c77462e1.jpg,640,640,Healthy_udder,335,0,592,446
AdobeStock_224670354_Preview_jpeg.rf.aff2b6e8b6c80b527b49ed7538490f3d.jpg,640,640,Healthy_udder,312,156,553,483
AdobeStock_954119162_Video_HD_Preview_mov-0007_jpg.rf.b537e5f553f352d4e2386aa0f7829e31.jpg,640,640,Cow_drinking_water,115,0,640,621
tklil_png.rf.e9ddf388700e72946274ec6e433097c5.jpg,640,640,Lumpy_infected_cow,0,0,600,640
AdobeStock_749149813_Video_HD_Preview_mov-0006_jpg.rf.a5bbe84c121bd7ad8d5cea07bcaa2649.jpg,640,640,Cow_drinking_water,230,355,364,606
AdobeStock_749149813_Video_HD_Preview_mov-0006_jpg.rf.a5bbe84c121bd7ad8d5cea07bcaa2649.jpg,640,640,Cow_drinking_water,5,329,124,593
walk208_jpg.rf.b9134585ac587d9ca8f2ab3547c8e3c5.jpg,640,640,Cow_standing,55,0,640,523
walk498_jpg.rf.84b54dcbc266a04bdb461cc77adc6dba.jpg,640,640,Cow_standing,103,33,603,550
Screenshot__-_-_-_-_-_-_-_-_-_-_-_-_-_-_png.rf.53f40816e4bf07c8aa1ec4590888ddfa.jpg,640,640,Lumpy_infected_cow,0,261,638,406
2-1-_jpg.rf.13999e3f7a253ba0529ca3769fdc0721.jpg,640,640,Cow_standing,275,173,592,513
2-1-_jpg.rf.13999e3f7a253ba0529ca3769fdc0721.jpg,640,640,Cow_standing,144,213,287,566
AdobeStock_40937622_Preview_jpeg.rf.865da0388632c95e300154e20c31cb94.jpg,640,640,Healthy_udder,397,397,458,483
AdobeStock_40937622_Preview_jpeg.rf.865da0388632c95e300154e20c31cb94.jpg,640,640,Cow_standing,179,160,499,564
Mastitis-63-_jpg.rf.e2c1070d8bc481d3c2c813f3e3a7aa61.jpg,640,640,Mastitis_infected_udder,265,100,640,507
walk126_jpg.rf.e2ce46e3d198307c0b31e7c7d9bb7056.jpg,640,640,Cow_standing,83,0,640,560
walk161_jpg.rf.09c1c75914a3313056d4d0acb6eb510d.jpg,640,640,Cow_standing,0,0,629,640
AdobeStock_274896802_Video_HD_Preview_mov-0005_jpg.rf.fe95e2d57ec9b3469b42067669f282e6.jpg,640,640,Cow_drinking_water,31,0,485,613
